sender,timestamp,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59,token_60,token_61,token_62,token_63,token_64,token_65,token_66,token_67,token_68,token_69
-1001333826717,2024-09-17 10:51:06+00:00,3in1,one,step,hair,dryer,styler,3,1,3,3,curling,hair,straightening,hair,dry,hair,3,1800,1000,tmeleyueqa,1,1,105b,2,22,3,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 07:16:05+00:00,heater,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 06:26:02+00:00,51electric,waffle,maker,5,in,1,sandwich,maker,cooking,kitchen,appliances,breakfast,waffles,machine,nonstick,brand,sonifer,5,in,1,multi,snacks,maker,sonifer,5,1,2,3,4,5,it,comes,with,a,detachable,sandwich,grill,donut,waffle,and,nutty,making,plates,5600,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 04:02:03+00:00,roti,maker,brushed,stainless,steel,housing,nonstick,coating,plates,for,easy,cleaning,stand,upright,for,compact,storage,power,and,ready,light,indicator,cordwrap,for,storage,22024ov506ohz,120ow,4700,free,delivery,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 18:40:23+00:00,mini,rechargeable,juicer,400ml,400ml,packageincluded,1,portable,juice,blender,1,usb,charging,cable,1300,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 16:19:01+00:00,rechargeable,led,table,lamp,very,suitable,for,desktop,night,lights,in,living,rooms,bedrooms,restaurants,hotels,etc,material,aluminum,alloy,function,touch,threelevel,dimming,usb,charging,charging,time,4h,battery,life,1800mah,power,15w,color,goldsiliverred,size,as,shown,packinglist,1led,desk,lamp,1usb,data,cable,price,1600,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,
-1001333826717,2024-09-16 13:39:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 13:39:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-16 13:39:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
